Pizza No.,Order Date,Order Time,Ord - Del time,Order Receipt (mins), Base prep (mins), Styling (mins), Cooking Time (mins),Boxing (mins),Delivery (mins),Oven Temp ºC,Order Mode,Size,Area,Order Taker,Dough Prep,Stylist,Oven,Boxer,Deliverer,Cust. complaint,Reason,,,,,,,
7678,03/05/2018,14:09:26,43.9,0.80,3.43,0.56,7.49,0.56,31.1,299.7,Phone,Family,C,Dineo,Tau,Tsepo,Wasabi,Bongani,Sei,No,,,,,,,,
7679,03/05/2018,14:10:53,42.6,0.65,3.14,0.50,6.74,0.50,31.0,243.1,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Lebo,No,,,,,,,,
7680,03/05/2018,14:17:22,46.7,0.52,3.26,0.53,7.19,0.53,34.6,293.3,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Bongani,Rita,No,,,,,,,,
7681,03/05/2018,14:19:45,43.5,0.68,3.29,0.53,6.65,0.53,31.9,246.1,Phone,Medium,E,Dineo,Tau,Tsepo,Chilli,Bongani,Sei,No,,,,,,,,
7682,03/05/2018,14:21:54,42.2,0.64,3.44,0.38,6.89,0.38,30.5,274.9,Phone,Large,D,Dineo,Tau,Tsepo,Curry,Bongani,Lebo,No,,,,,,,,
7683,03/05/2018,14:33:32,43.8,0.76,3.28,0.53,7.09,0.53,31.6,283.3,App,Large,B,Dineo,Tau,Tsepo,Curry,Bongani,Rita,No,,,,,,,,
7684,03/05/2018,14:41:12,48.8,0.82,3.34,0.56,6.49,0.56,37.0,247.7,App,Small,E,Dineo,Tau,Tsepo,Chilli,Bongani,Sei,No,,,,,,,,
7685,03/05/2018,14:41:41,41.7,0.78,3.45,0.37,6.92,0.37,29.8,250.5,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Lebo,No,,,,,,,,
7686,03/05/2018,14:44:41,44.1,0.73,3.28,0.34,6.89,0.34,32.5,282.1,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Bongani,Rita,No,,,,,,,,
7687,03/05/2018,14:47:20,47.6,0.62,3.38,0.38,6.81,0.38,36.0,246.7,Phone,Medium,C,Dineo,Tau,Tsepo,Chilli,Bongani,Sei,No,,,,,,,,
7688,03/05/2018,14:56:48,38.9,0.80,3.33,0.47,6.58,0.47,27.2,242.5,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Lebo,No,,,,,,,,
7689,03/05/2018,14:57:49,39.3,0.80,3.20,0.44,6.83,0.44,27.6,292.6,App,Family,B,Dineo,Tau,Tsepo,Wasabi,Bongani,Rita,No,,,,,,,,
7690,03/05/2018,14:59:58,52.9,0.79,3.30,0.42,6.92,0.42,41.1,251.0,App,Small,E,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7691,03/05/2018,15:00:30,41.2,0.60,3.20,0.46,6.46,0.46,30.0,247.0,App,Medium,D,Dineo,Tau,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
7692,03/05/2018,15:05:22,36.6,0.64,3.02,0.54,6.34,0.54,25.5,240.1,Phone,Small,A,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
7693,03/05/2018,15:08:37,43.4,0.80,3.42,0.53,6.88,0.53,31.3,277.4,Phone,Large,D,Dineo,Tau,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
7694,03/05/2018,15:11:50,48.8,1.08,3.38,0.42,7.49,0.42,36.0,288.9,Phone,Family,C,Dineo,Tau,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
7695,03/05/2018,15:14:44,40.9,0.53,3.43,0.52,6.54,0.52,29.4,248.1,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
7696,03/05/2018,15:24:44,38.8,0.86,3.31,0.44,6.53,0.44,27.2,242.2,App,Medium,E,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7697,03/05/2018,15:39:41,46.0,0.67,3.41,0.46,6.72,0.46,34.3,247.3,App,Medium,E,Dineo,Tau,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
7698,03/05/2018,15:41:08,43.2,0.66,3.35,0.47,6.92,0.47,31.3,274.9,App,Large,B,Dineo,Tau,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
7699,03/05/2018,15:52:20,44.3,0.90,3.46,0.44,6.73,0.44,32.3,281.3,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
7700,03/05/2018,15:57:58,35.6,0.65,3.36,0.45,6.39,0.45,24.3,245.9,App,Medium,B,Dineo,Tau,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
7701,03/05/2018,16:01:41,39.1,0.68,3.20,0.61,6.51,0.61,27.5,242.5,App,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
7702,03/05/2018,16:08:34,41.4,0.66,3.28,0.51,6.74,0.51,29.7,281.9,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
7703,03/05/2018,16:15:43,38.1,0.59,3.30,0.60,6.49,0.60,26.5,276.0,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
7704,03/05/2018,16:18:38,54.4,0.91,3.54,0.58,7.14,0.58,41.7,282.9,App,Large,C,Dineo,Tau,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
7705,03/05/2018,16:24:48,48.6,0.66,3.29,0.40,6.70,0.40,37.2,275.0,App,Large,E,Dineo,Tau,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
7706,03/05/2018,16:25:01,37.6,0.88,3.44,0.40,6.75,0.40,25.7,282.4,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
7707,03/05/2018,16:28:02,49.4,0.92,3.36,0.55,7.06,0.55,37.0,289.0,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
7708,03/05/2018,16:32:12,45.6,0.75,3.35,0.61,7.00,0.61,33.3,292.4,Phone,Family,D,Dineo,Tau,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
7709,03/05/2018,16:37:49,40.7,0.93,3.29,0.49,7.37,0.49,28.1,294.2,App,Family,B,Dineo,Tau,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
7710,03/05/2018,16:40:06,44.2,0.90,3.49,0.66,7.44,0.66,31.0,295.4,App,Family,D,Dineo,Tau,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
7711,03/05/2018,16:42:18,37.9,0.68,3.12,0.50,7.26,0.50,25.8,275.7,App,Large,C,Dineo,Tau,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
7712,03/05/2018,16:45:18,47.6,0.92,3.40,0.50,6.94,0.50,35.3,279.7,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
7713,03/05/2018,16:45:48,51.4,0.50,3.61,0.61,7.35,0.61,38.7,294.3,App,Family,E,Dineo,Tau,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
7714,03/05/2018,16:51:13,48.1,1.04,3.54,0.44,7.17,0.44,35.5,294.3,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
7715,03/05/2018,16:54:51,40.8,0.80,3.49,0.53,6.91,0.53,28.6,275.1,Phone,Large,A,Dineo,Tau,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
7716,03/05/2018,16:56:16,42.8,0.57,3.15,0.40,6.28,0.40,32.0,241.9,App,Small,B,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
7717,03/05/2018,16:58:18,42.2,0.92,3.14,0.43,6.51,0.43,30.8,242.5,App,Medium,B,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7718,03/05/2018,17:03:53,42.0,0.65,3.51,0.54,7.48,0.54,29.3,291.7,App,Family,A,Dineo,Tau,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
7719,03/05/2018,17:04:06,50.5,0.60,3.45,0.46,6.53,0.46,39.0,240.9,Phone,Medium,E,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
7720,03/05/2018,17:06:21,42.8,0.66,3.47,0.56,6.76,0.56,30.8,242.5,Phone,Medium,D,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7721,03/05/2018,17:06:56,55.1,0.65,3.09,0.37,6.73,0.37,43.9,275.2,App,Large,C,Dineo,Tau,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
2843,26/03/2018,17:45:26,53.0,0.66,3.51,0.49,6.74,0.49,41.1,275.9,Phone,Large,C,Maria,Tau,Tsepo,Curry,Rohan,Mary,yes,late delivery,,,,,,,
7723,03/05/2018,17:09:40,39.5,0.92,3.18,0.48,6.49,0.48,28.0,246.7,App,Medium,D,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7724,03/05/2018,17:13:27,54.5,0.50,3.27,0.50,6.30,0.50,43.4,246.7,Phone,Small,E,Dineo,Tau,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
7725,03/05/2018,17:14:06,42.4,0.53,3.51,0.36,6.99,0.36,30.6,279.8,App,Large,B,Dineo,Tau,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
7726,03/05/2018,17:14:14,45.4,0.65,3.15,0.54,6.15,0.54,34.4,243.7,App,Small,E,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7727,03/05/2018,17:21:20,39.1,0.62,3.33,0.53,6.68,0.53,27.5,276.7,Phone,Large,E,Dineo,Tau,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
7728,03/05/2018,17:21:39,38.2,0.61,3.37,0.44,7.36,0.44,26.0,292.0,Phone,Family,A,Dineo,Tau,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
7729,03/05/2018,17:23:02,35.8,0.73,3.12,0.41,6.41,0.41,24.7,244.6,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
7730,03/05/2018,17:32:49,40.0,0.66,3.41,0.51,7.36,0.51,27.6,286.7,Phone,Family,B,Dineo,Tau,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
7731,03/05/2018,17:33:23,40.5,0.72,3.26,0.36,7.23,0.36,28.6,278.6,App,Large,B,Dineo,Tau,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
233,07/03/2018,17:31:52,53.1,0.99,3.49,0.38,7.39,0.38,40.5,289.6,App,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,yes,Late delivery,,,,,,,
7733,03/05/2018,17:39:46,51.5,0.80,3.49,0.57,7.38,0.57,38.7,293.5,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
7734,03/05/2018,17:40:44,40.6,0.84,3.25,0.52,6.35,0.52,29.1,247.9,Phone,Small,A,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
7735,03/05/2018,17:42:53,40.2,1.00,3.29,0.52,7.28,0.52,27.6,287.6,App,Family,A,Dineo,Tau,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
1215,14/03/2018,17:48:57,53.1,0.59,3.32,0.35,6.61,0.35,41.9,242.2,Phone,Small,E,Maria,Vivaan,Tsepo,Chilli,Rohan,Mary,yes,Late delivery,,,,,,,
7737,03/05/2018,17:55:40,44.5,0.74,3.25,0.52,6.63,0.52,32.9,244.8,App,Medium,D,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
226,07/03/2018,16:30:15,53.2,0.77,3.53,0.56,7.22,0.56,40.5,286.9,App,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Mary,yes,late delivery,,,,,,,
1348,15/03/2018,18:40:05,53.2,0.95,3.20,0.47,7.22,0.47,40.9,289.5,App,Family,E,Maria,Vivaan,Lindi,Wasabi,Bongani,Lebo,yes,Late delivery,,,,,,,
7740,03/05/2018,17:59:55,54.1,0.99,3.56,0.58,7.29,0.58,41.0,291.9,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
7100,28/04/2018,17:49:09,53.4,0.85,3.40,0.53,6.79,0.53,41.3,276.8,App,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Lebo,yes,Late delivery,,,,,,,
10951,26/05/2018,22:05:32,53.4,0.95,3.24,0.43,6.33,0.43,42.0,245.1,App,Medium,E,Dineo,Alexia,Jim,Chilli,Rohan,Jeff,Yes,Late Delivery,,,,,,,
1014,12/03/2018,17:32:50,53.4,0.82,3.29,0.49,7.18,0.49,41.1,284.6,Phone,Large,E,Maria,Tau,Tsepo,Curry,Rohan,Jeff,yes,Late delivery,,,,,,,
12077,05/06/2018,19:46:38,53.4,0.80,3.39,0.37,7.01,0.37,41.5,273.3,Phone,Large,E,Kim,Tau,Evelyn,Curry,Bongni,Rita,yes,Late delivery,,,,,,,
8118,05/05/2018,19:33:59,53.5,0.80,3.50,0.61,6.57,0.61,41.4,244.5,App,Medium,E,Dineo,Tau,Evelyn,Chilli,Bongani,Lebo,yes,Late delivery,,,,,,,
882,11/03/2018,17:41:49,53.5,0.63,3.16,0.51,6.42,0.51,42.3,243.3,App,Medium,E,Maria,Tau,Sally,Chilli,Pat,Lebo,yes,Late delivery,,,,,,,
7747,03/05/2018,18:16:40,39.6,0.86,3.39,0.40,7.44,0.40,27.1,290.4,Phone,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Kone,No,,,,,,,,
7748,03/05/2018,18:28:30,44.1,0.59,3.22,0.37,6.92,0.37,32.6,275.3,App,Large,B,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7749,03/05/2018,18:31:35,39.3,0.79,3.56,0.41,7.04,0.41,27.1,276.5,App,Large,A,Dineo,Tau,Evelyn,Curry,Bongani,Mary,No,,,,,,,,
7750,03/05/2018,18:40:04,47.5,0.50,3.41,0.65,6.51,0.65,35.7,280.9,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7751,03/05/2018,18:42:07,42.3,0.87,3.44,0.49,6.82,0.49,30.2,276.6,Phone,Large,D,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7752,03/05/2018,18:57:04,57.4,0.78,3.43,0.50,6.77,0.50,45.4,276.6,Phone,Large,C,Dineo,Tau,Evelyn,Curry,Bongani,Mary,No,,,,,,,,
7753,03/05/2018,18:57:14,37.0,0.73,3.10,0.50,6.50,0.50,25.7,246.6,App,Small,A,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7754,03/05/2018,19:01:18,44.1,0.91,3.24,0.29,6.85,0.29,32.5,245.6,App,Medium,D,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7755,03/05/2018,19:02:36,49.6,0.66,3.24,0.50,6.82,0.50,37.9,242.2,App,Medium,E,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7756,03/05/2018,19:05:57,38.9,0.79,3.33,0.48,6.33,0.48,27.5,248.6,Phone,Small,B,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7757,03/05/2018,19:08:19,52.7,0.95,3.42,0.52,6.93,0.52,40.4,293.5,App,Family,E,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7758,03/05/2018,19:11:14,44.2,1.17,3.12,0.44,7.15,0.44,31.9,285.4,App,Family,E,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7759,03/05/2018,19:12:31,40.4,0.68,3.30,0.39,6.14,0.39,29.5,246.7,Phone,Small,A,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7760,03/05/2018,19:13:14,37.0,0.74,3.31,0.57,6.60,0.57,25.2,241.8,Phone,Medium,A,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7761,03/05/2018,19:14:48,47.1,0.89,3.24,0.63,7.34,0.63,34.3,290.3,Phone,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7762,03/05/2018,19:15:45,45.5,0.90,3.47,0.58,7.54,0.58,32.4,287.1,Phone,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Kone,No,,,,,,,,
7763,03/05/2018,19:17:55,47.0,0.80,3.28,0.42,6.57,0.42,35.5,243.9,Phone,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7764,03/05/2018,19:18:58,43.8,0.96,3.30,0.63,6.62,0.63,31.7,247.2,App,Medium,E,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7765,03/05/2018,19:26:03,38.4,0.70,3.40,0.58,7.21,0.58,25.9,288.4,App,Family,A,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7766,03/05/2018,19:29:00,38.5,0.58,3.03,0.28,6.84,0.28,27.5,247.4,Phone,Medium,A,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7767,03/05/2018,19:35:38,53.6,0.77,3.48,0.44,7.30,0.44,41.1,290.8,Phone,Family,C,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7768,03/05/2018,19:36:05,59.0,0.75,3.53,0.53,7.22,0.53,46.5,284.1,App,Family,E,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7769,03/05/2018,19:43:04,49.7,0.77,3.57,0.34,6.86,0.34,37.8,277.2,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7770,03/05/2018,19:53:42,44.4,0.78,3.23,0.42,5.99,0.42,33.5,245.9,App,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7771,03/05/2018,19:58:45,38.4,0.68,3.08,0.49,6.34,0.49,27.3,242.1,App,Medium,A,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7772,03/05/2018,20:12:31,40.2,0.96,3.41,0.50,6.44,0.50,28.4,246.2,App,Medium,B,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7773,03/05/2018,20:19:09,39.0,0.79,3.45,0.51,7.14,0.51,26.6,292.9,Phone,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7774,03/05/2018,20:26:37,36.5,0.46,3.32,0.46,6.83,0.46,25.0,281.2,App,Large,A,Dineo,Tau,Evelyn,Curry,Bongani,Mary,No,,,,,,,,
7775,03/05/2018,20:27:37,50.5,0.94,3.08,0.45,6.34,0.45,39.2,249.3,Phone,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7776,03/05/2018,20:30:12,40.6,0.70,3.21,0.37,6.56,0.37,29.4,243.0,App,Medium,D,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7777,03/05/2018,20:34:05,52.0,0.95,3.52,0.36,7.39,0.36,39.4,287.9,Phone,Family,C,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7778,03/05/2018,20:35:50,41.4,0.64,3.26,0.26,7.21,0.26,29.8,288.6,Phone,Family,A,Dineo,Tau,Evelyn,Wasabi,Bongani,Kone,No,,,,,,,,
7779,03/05/2018,20:40:09,43.9,0.45,3.22,0.46,6.80,0.46,32.5,243.9,App,Medium,D,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7780,03/05/2018,20:43:12,50.2,0.37,3.23,0.56,7.30,0.56,38.2,289.5,Phone,Family,E,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7781,03/05/2018,20:43:13,43.8,0.59,3.32,0.54,6.42,0.54,32.4,249.6,Phone,Small,B,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7782,03/05/2018,20:54:25,45.6,0.80,3.48,0.41,7.16,0.41,33.3,294.1,App,Family,E,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7783,03/05/2018,20:58:59,43.5,0.70,3.15,0.43,6.39,0.43,32.4,244.0,App,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7784,03/05/2018,21:01:45,37.3,0.87,3.29,0.32,7.46,0.32,25.0,288.5,Phone,Family,A,Dineo,Tau,Evelyn,Wasabi,Bongani,Kone,No,,,,,,,,
7785,03/05/2018,21:06:28,36.1,0.78,3.14,0.45,7.29,0.45,24.0,289.9,Phone,Family,A,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7786,03/05/2018,21:09:42,43.7,0.60,3.23,0.36,6.42,0.36,32.7,242.9,Phone,Small,B,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7787,03/05/2018,21:12:39,44.6,0.94,3.22,0.56,6.42,0.56,32.9,246.5,Phone,Medium,B,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7788,03/05/2018,21:22:58,53.5,0.91,3.36,0.50,7.37,0.50,40.9,290.4,App,Family,E,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7789,03/05/2018,21:28:31,48.5,0.85,3.19,0.45,6.55,0.45,37.0,246.7,Phone,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7790,03/05/2018,21:33:49,39.1,0.76,3.03,0.36,6.53,0.36,28.0,247.6,Phone,Medium,A,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7791,03/05/2018,21:34:19,41.3,0.91,3.55,0.57,6.70,0.57,29.0,271.7,Phone,Large,A,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7792,03/05/2018,21:35:18,40.0,0.68,3.77,0.54,7.44,0.54,27.1,289.1,App,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Mary,No,,,,,,,,
7793,03/05/2018,21:39:49,39.8,0.69,3.26,0.41,6.04,0.41,28.9,246.0,App,Small,D,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7794,03/05/2018,21:42:01,35.7,0.91,3.27,0.43,6.88,0.43,23.8,279.0,Phone,Large,C,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7795,03/05/2018,21:42:23,48.4,0.69,3.36,0.68,6.39,0.68,36.6,247.4,App,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7796,03/05/2018,21:43:55,51.9,0.68,3.62,0.50,6.79,0.50,39.8,274.6,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7797,03/05/2018,21:59:12,47.0,0.85,3.43,0.42,6.79,0.42,35.1,277.8,App,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7798,03/05/2018,22:07:02,38.2,0.68,3.27,0.53,6.34,0.53,26.9,243.8,App,Small,A,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7799,03/05/2018,22:16:31,52.7,0.79,3.31,0.55,6.66,0.55,40.9,279.1,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7800,03/05/2018,22:23:38,42.4,0.64,3.31,0.42,7.18,0.42,30.5,275.9,App,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7801,03/05/2018,22:24:59,43.8,0.85,3.52,0.58,6.98,0.58,31.2,274.2,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Mary,No,,,,,,,,
7802,03/05/2018,22:30:55,38.7,0.43,3.34,0.38,7.13,0.38,27.0,278.0,Phone,Large,A,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7803,03/05/2018,22:31:56,45.0,0.84,3.37,0.50,6.76,0.50,33.1,246.4,App,Medium,B,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7804,03/05/2018,22:33:55,42.2,0.75,3.47,0.45,6.72,0.45,30.4,272.9,App,Large,B,Dineo,Tau,Evelyn,Curry,Bongani,Mary,No,,,,,,,,
7805,03/05/2018,22:35:27,37.8,0.73,3.39,0.50,7.29,0.50,25.4,291.7,App,Family,A,Dineo,Tau,Evelyn,Wasabi,Bongani,Kone,No,,,,,,,,
7806,03/05/2018,22:36:52,47.7,0.88,3.21,0.44,6.41,0.44,36.3,242.9,App,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7807,03/05/2018,22:40:30,45.7,1.01,3.24,0.53,6.67,0.53,33.7,244.5,App,Medium,D,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7808,03/05/2018,22:44:48,42.1,0.86,3.64,0.43,6.91,0.43,29.9,275.6,App,Large,C,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7809,03/05/2018,22:55:49,35.5,0.73,3.25,0.59,6.88,0.59,23.5,278.2,Phone,Large,A,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
7810,03/05/2018,23:01:00,43.0,0.65,3.28,0.56,7.01,0.56,31.0,276.1,Phone,Large,D,Dineo,Tau,Evelyn,Curry,Bongani,Mary,No,,,,,,,,
7811,03/05/2018,23:05:03,51.2,1.04,3.59,0.57,6.88,0.57,38.6,276.4,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7812,03/05/2018,23:08:06,41.2,0.71,3.39,0.59,7.19,0.59,28.7,288.7,App,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7813,03/05/2018,23:15:04,49.7,0.39,3.34,0.48,6.08,0.48,38.9,244.0,Phone,Medium,E,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7814,03/05/2018,23:15:29,42.6,0.57,3.32,0.41,6.68,0.41,31.2,247.4,Phone,Medium,E,Dineo,Tau,Evelyn,Chilli,Bongani,Kone,No,,,,,,,,
7815,03/05/2018,23:17:44,34.8,0.68,3.03,0.53,6.28,0.53,23.7,242.0,Phone,Small,A,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,No,,,,,,,,
7816,03/05/2018,23:24:44,35.7,0.53,3.36,0.54,6.12,0.54,24.6,246.1,Phone,Small,A,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7817,03/05/2018,23:25:54,38.4,0.87,3.25,0.51,6.96,0.51,26.3,275.7,Phone,Large,B,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7818,03/05/2018,23:28:41,39.9,0.63,3.43,0.37,7.25,0.37,27.9,291.5,App,Family,B,Dineo,Tau,Evelyn,Wasabi,Bongani,Jeff,No,,,,,,,,
7819,03/05/2018,23:29:57,47.3,0.62,3.23,0.47,6.46,0.47,36.1,248.5,Phone,Small,E,Dineo,Tau,Evelyn,Chilli,Bongani,Mary,No,,,,,,,,
7820,03/05/2018,23:33:49,38.8,0.45,3.23,0.52,7.05,0.52,27.0,278.4,Phone,Large,E,Dineo,Tau,Evelyn,Curry,Bongani,Kone,No,,,,,,,,
7821,03/05/2018,23:36:07,41.3,0.64,3.40,0.37,6.97,0.37,29.5,275.0,Phone,Large,A,Dineo,Tau,Evelyn,Curry,Bongani,Jeff,No,,,,,,,,
